model,draw,role,NFP+,LR,RN+,ENS+,DIV,DVG,DVD,joint_score,observed_percentile
national_anchored,88,reference,205.0,26.0,161.0,145.0,8.0,14.0,18.0,NaN,NaN
national_anchored,89,calibration,189.0,40.0,130.0,168.0,11.0,13.0,26.0,14.111216654043286,NaN
national_anchored,90,reference,216.0,30.0,149.0,142.0,9.0,12.0,19.0,NaN,NaN
national_anchored,91,calibration,210.0,29.0,160.0,133.0,8.0,14.0,23.0,28.917723294317323,NaN
national_anchored,92,reference,219.0,21.0,174.0,126.0,6.0,12.0,19.0,NaN,NaN
national_anchored,93,calibration,203.0,30.0,165.0,140.0,5.0,14.0,20.0,27.197370934500075,NaN
national_anchored,94,reference,173.0,36.0,150.0,169.0,10.0,13.0,26.0,NaN,NaN
national_anchored,95,calibration,214.0,38.0,117.0,162.0,10.0,13.0,23.0,15.132834945661624,NaN
national_anchored,96,reference,215.0,43.0,92.0,174.0,8.0,14.0,31.0,NaN,NaN
national_anchored,97,calibration,212.0,38.0,101.0,171.0,10.0,13.0,32.0,21.606447886850095,NaN
national_anchored,98,reference,185.0,40.0,138.0,165.0,10.0,13.0,26.0,NaN,NaN
national_anchored,99,calibration,220.0,31.0,115.0,163.0,10.0,13.0,25.0,17.647542650554637,NaN
national_anchored,100,reference,190.0,39.0,120.0,182.0,11.0,12.0,23.0,NaN,NaN
national_anchored,101,calibration,215.0,29.0,138.0,148.0,10.0,12.0,25.0,17.686741480341734,NaN
national_anchored,102,reference,194.0,25.0,191.0,124.0,10.0,14.0,19.0,NaN,NaN
national_anchored,103,calibration,218.0,23.0,179.0,119.0,10.0,11.0,17.0,48.48490930131261,NaN
national_anchored,104,reference,182.0,21.0,194.0,139.0,9.0,13.0,19.0,NaN,NaN
national_anchored,105,calibration,206.0,43.0,105.0,174.0,10.0,13.0,26.0,19.44303609153435,NaN
national_anchored,106,reference,223.0,38.0,120.0,147.0,10.0,13.0,26.0,NaN,NaN
national_anchored,107,calibration,217.0,26.0,122.0,169.0,10.0,12.0,21.0,16.669479454207806,NaN
national_anchored,108,reference,208.0,35.0,120.0,168.0,11.0,13.0,22.0,NaN,NaN
national_anchored,109,calibration,220.0,34.0,133.0,149.0,10.0,14.0,17.0,19.070001182451154,NaN
national_anchored,110,reference,175.0,19.0,181.0,157.0,10.0,14.0,21.0,NaN,NaN
national_anchored,111,calibration,220.0,28.0,110.0,171.0,10.0,11.0,27.0,20.123449136830192,NaN
national_anchored,112,reference,188.0,38.0,136.0,170.0,10.0,13.0,22.0,NaN,NaN
national_anchored,113,calibration,202.0,28.0,126.0,176.0,10.0,13.0,22.0,14.678368334325864,NaN
national_anchored,114,reference,142.0,36.0,188.0,172.0,6.0,13.0,20.0,NaN,NaN
