model,draw,role,NFP+,LR,RN+,ENS+,DIV,DVG,DVD,joint_score,observed_percentile
national,120,reference,188.0,36.0,134.0,172.0,10.0,14.0,23.0,NaN,NaN
national,121,calibration,212.0,20.0,182.0,124.0,8.0,11.0,20.0,44.37856873621904,NaN
national,122,reference,171.0,31.0,158.0,169.0,10.0,14.0,24.0,NaN,NaN
national,123,calibration,198.0,36.0,104.0,186.0,10.0,12.0,31.0,25.777103420161698,NaN
national,124,reference,212.0,40.0,112.0,164.0,10.0,12.0,27.0,NaN,NaN
national,125,calibration,188.0,40.0,141.0,160.0,9.0,13.0,26.0,15.076280700861833,NaN
national,126,reference,224.0,40.0,105.0,161.0,10.0,11.0,26.0,NaN,NaN
national,127,calibration,207.0,22.0,161.0,143.0,11.0,13.0,20.0,24.371894719062123,NaN
national,128,reference,182.0,33.0,146.0,172.0,8.0,14.0,22.0,NaN,NaN
national,129,calibration,184.0,30.0,159.0,156.0,11.0,13.0,24.0,20.823668978533806,NaN
national,130,reference,217.0,19.0,184.0,116.0,10.0,13.0,18.0,NaN,NaN
national,131,calibration,200.0,33.0,117.0,180.0,12.0,10.0,25.0,17.72330132893723,NaN
national,132,reference,199.0,39.0,125.0,168.0,8.0,14.0,24.0,NaN,NaN
national,133,calibration,195.0,33.0,148.0,157.0,10.0,12.0,22.0,14.745434214774587,NaN
national,134,reference,227.0,25.0,141.0,144.0,9.0,12.0,19.0,NaN,NaN
national,135,calibration,208.0,32.0,128.0,164.0,10.0,11.0,24.0,12.296145322705367,NaN
national,136,reference,197.0,35.0,111.0,184.0,10.0,14.0,26.0,NaN,NaN
national,137,calibration,204.0,42.0,116.0,170.0,5.0,14.0,26.0,15.687193196371194,NaN
national,138,reference,219.0,43.0,90.0,177.0,11.0,12.0,25.0,NaN,NaN
national,139,calibration,229.0,42.0,72.0,184.0,8.0,14.0,28.0,49.38264905049577,NaN
national,140,reference,202.0,38.0,135.0,156.0,10.0,13.0,23.0,NaN,NaN
national,141,calibration,215.0,43.0,85.0,188.0,10.0,12.0,24.0,37.84296951228667,NaN
national,142,reference,215.0,37.0,115.0,159.0,11.0,13.0,27.0,NaN,NaN
national,143,calibration,206.0,33.0,123.0,165.0,9.0,13.0,28.0,12.812182016222,NaN
national,144,reference,196.0,25.0,163.0,155.0,8.0,11.0,19.0,NaN,NaN
national,145,calibration,206.0,38.0,143.0,147.0,10.0,12.0,21.0,16.351067675872645,NaN
national,146,reference,162.0,31.0,178.0,157.0,11.0,13.0,25.0,NaN,NaN
national,147,calibration,226.0,40.0,102.0,163.0,10.0,13.0,23.0,24.94254469063417,NaN
national,148,reference,215.0,42.0,81.0,190.0,8.0,12.0,29.0,NaN,NaN
national,149,calibration,219.0,39.0,114.0,168.0,9.0,12.0,16.0,18.703521136464435,NaN
national,150,reference,209.0,39.0,110.0,167.0,8.0,14.0,30.0,NaN,NaN
national,151,calibration,156.0,21.0,235.0,125.0,8.0,13.0,19.0,90.60056063982705,NaN
national,152,reference,158.0,41.0,159.0,171.0,9.0,12.0,27.0,NaN,NaN
national,153,calibration,157.0,39.0,159.0,171.0,10.0,12.0,29.0,35.18199153401373,NaN
national,154,reference,210.0,35.0,117.0,166.0,9.0,13.0,27.0,NaN,NaN
national,155,calibration,208.0,22.0,191.0,112.0,8.0,13.0,23.0,55.33693489249622,NaN
national,156,reference,200.0,34.0,109.0,181.0,11.0,13.0,29.0,NaN,NaN
national,157,calibration,217.0,23.0,157.0,137.0,10.0,12.0,21.0,27.086585738705462,NaN
national,158,reference,167.0,30.0,190.0,147.0,8.0,12.0,23.0,NaN,NaN
national,159,calibration,207.0,32.0,128.0,170.0,10.0,12.0,18.0,13.4751489627298,NaN
national,160,reference,161.0,20.0,238.0,119.0,8.0,12.0,19.0,NaN,NaN
national,161,calibration,143.0,36.0,191.0,158.0,9.0,12.0,28.0,58.20795004958181,NaN
national,162,reference,202.0,20.0,172.0,135.0,11.0,14.0,23.0,NaN,NaN
national,163,calibration,134.0,26.0,221.0,153.0,10.0,14.0,19.0,84.4794311765514,NaN
national,164,reference,207.0,38.0,126.0,162.0,11.0,12.0,21.0,NaN,NaN
national,165,calibration,209.0,36.0,123.0,164.0,11.0,13.0,21.0,13.010606307473747,NaN
national,166,reference,201.0,38.0,121.0,168.0,10.0,13.0,26.0,NaN,NaN
national,167,calibration,229.0,40.0,90.0,168.0,8.0,12.0,30.0,33.379947168022696,NaN
national,168,reference,183.0,28.0,168.0,159.0,8.0,12.0,19.0,NaN,NaN
national,169,calibration,220.0,40.0,110.0,163.0,9.0,12.0,23.0,19.201547656593416,NaN
national,170,reference,207.0,34.0,145.0,150.0,9.0,10.0,22.0,NaN,NaN
national,171,calibration,187.0,37.0,136.0,172.0,11.0,11.0,23.0,15.557589466169599,NaN
national,172,reference,246.0,42.0,76.0,167.0,9.0,9.0,28.0,NaN,NaN
national,173,calibration,190.0,34.0,170.0,140.0,10.0,12.0,21.0,28.559589317390422,NaN
national,174,reference,199.0,38.0,129.0,163.0,9.0,13.0,26.0,NaN,NaN
national,175,calibration,187.0,26.0,200.0,125.0,8.0,12.0,19.0,54.38949880046545,NaN
national,176,reference,221.0,22.0,160.0,131.0,12.0,13.0,18.0,NaN,NaN
national,177,calibration,160.0,38.0,168.0,165.0,9.0,13.0,24.0,35.48396382350046,NaN
national,178,reference,177.0,41.0,131.0,172.0,10.0,13.0,33.0,NaN,NaN
national,179,calibration,204.0,42.0,95.0,183.0,8.0,13.0,32.0,29.355884019557077,NaN
national,180,reference,225.0,42.0,88.0,175.0,9.0,11.0,27.0,NaN,NaN
national,181,calibration,196.0,17.0,134.0,180.0,8.0,14.0,28.0,20.283382350386635,NaN
national,182,reference,155.0,37.0,153.0,183.0,8.0,12.0,29.0,NaN,NaN
national,183,calibration,218.0,28.0,131.0,154.0,9.0,12.0,25.0,16.058318418943042,NaN
national,184,reference,222.0,38.0,95.0,173.0,12.0,14.0,23.0,NaN,NaN
national,185,calibration,213.0,16.0,183.0,124.0,9.0,14.0,18.0,46.150407218882734,NaN
national,186,reference,218.0,22.0,135.0,159.0,9.0,10.0,24.0,NaN,NaN
national,187,calibration,191.0,19.0,196.0,127.0,9.0,14.0,21.0,51.03731316200752,NaN
national,188,reference,191.0,34.0,149.0,157.0,12.0,11.0,23.0,NaN,NaN
national,189,calibration,239.0,39.0,71.0,176.0,11.0,13.0,28.0,52.10156574729888,NaN
national,190,reference,184.0,38.0,134.0,175.0,7.0,13.0,26.0,NaN,NaN
national,191,calibration,214.0,37.0,113.0,165.0,11.0,14.0,23.0,16.233622447033934,NaN
national,192,reference,227.0,32.0,146.0,127.0,8.0,13.0,24.0,NaN,NaN
national,193,calibration,183.0,42.0,125.0,183.0,9.0,12.0,23.0,21.975862031514968,NaN
national,194,reference,194.0,41.0,125.0,168.0,10.0,13.0,26.0,NaN,NaN
national,195,calibration,214.0,40.0,101.0,175.0,9.0,14.0,24.0,22.960995669882248,NaN
national,196,reference,206.0,38.0,104.0,177.0,9.0,12.0,31.0,NaN,NaN
national,197,calibration,214.0,20.0,178.0,122.0,9.0,13.0,21.0,43.52765569322065,NaN
national,198,reference,214.0,43.0,100.0,170.0,11.0,12.0,27.0,NaN,NaN
national,199,calibration,193.0,20.0,199.0,124.0,9.0,14.0,18.0,54.340339128840114,NaN
national,200,reference,180.0,21.0,180.0,145.0,7.0,14.0,30.0,NaN,NaN
national,201,calibration,192.0,35.0,128.0,173.0,10.0,13.0,26.0,14.463125502212382,NaN
national,202,reference,206.0,26.0,141.0,159.0,9.0,13.0,23.0,NaN,NaN
national,203,calibration,185.0,35.0,144.0,168.0,6.0,14.0,25.0,16.37891740957407,NaN
national,204,reference,226.0,25.0,108.0,176.0,9.0,11.0,22.0,NaN,NaN
national,205,calibration,213.0,30.0,109.0,185.0,9.0,12.0,19.0,23.647591351712666,NaN
national,206,reference,229.0,43.0,80.0,173.0,10.0,13.0,29.0,NaN,NaN
national,207,calibration,207.0,38.0,114.0,171.0,10.0,13.0,24.0,15.520895339775254,NaN
national,208,reference,211.0,33.0,113.0,172.0,9.0,12.0,27.0,NaN,NaN
national,209,calibration,177.0,16.0,189.0,157.0,8.0,13.0,17.0,42.60119552407862,NaN
national,210,reference,187.0,39.0,137.0,169.0,11.0,12.0,22.0,NaN,NaN
national,211,calibration,211.0,23.0,149.0,150.0,8.0,13.0,23.0,18.558514769068086,NaN
national,212,reference,175.0,36.0,162.0,157.0,9.0,13.0,25.0,NaN,NaN
national,213,calibration,209.0,37.0,130.0,156.0,8.0,12.0,25.0,13.037700654347194,NaN
national,214,reference,196.0,30.0,163.0,147.0,9.0,13.0,19.0,NaN,NaN
national,215,calibration,183.0,30.0,166.0,154.0,11.0,12.0,21.0,24.509354690805853,NaN
national,216,reference,198.0,35.0,143.0,155.0,9.0,12.0,25.0,NaN,NaN
national,217,calibration,195.0,39.0,147.0,148.0,8.0,13.0,27.0,17.106574617988567,NaN
national,218,reference,232.0,22.0,113.0,169.0,9.0,12.0,20.0,NaN,NaN
national,219,calibration,215.0,35.0,126.0,152.0,10.0,12.0,27.0,15.477361089122315,NaN
national,220,reference,208.0,41.0,114.0,168.0,10.0,13.0,23.0,NaN,NaN
national,221,calibration,138.0,39.0,179.0,170.0,9.0,13.0,29.0,56.21200606850056,NaN
national,222,reference,211.0,35.0,121.0,165.0,10.0,13.0,22.0,NaN,NaN
national,223,calibration,229.0,36.0,112.0,157.0,12.0,12.0,19.0,23.175331201403612,NaN
national,224,reference,186.0,36.0,131.0,174.0,10.0,13.0,27.0,NaN,NaN
national,225,calibration,233.0,42.0,66.0,188.0,9.0,12.0,27.0,56.71283165261646,NaN
national,226,reference,198.0,42.0,112.0,176.0,10.0,12.0,27.0,NaN,NaN
national,227,calibration,189.0,24.0,202.0,124.0,8.0,13.0,17.0,56.39035104950983,NaN
national,228,reference,211.0,34.0,152.0,144.0,9.0,10.0,17.0,NaN,NaN
national,229,calibration,212.0,40.0,102.0,176.0,10.0,14.0,23.0,22.451551041400993,NaN
national,230,reference,199.0,21.0,200.0,117.0,7.0,12.0,21.0,NaN,NaN
national,231,calibration,206.0,38.0,112.0,171.0,12.0,13.0,25.0,16.292730302712,NaN
national,232,reference,182.0,34.0,154.0,159.0,10.0,13.0,25.0,NaN,NaN
