model,draw,role,NFP+,LR,RN+,ENS+,DIV,DVG,DVD,joint_score,observed_percentile
kernel_anchored,97,calibration,150.0,38.0,187.0,159.0,11.0,12.0,20.0,41.7264384448843,NaN
kernel_anchored,98,reference,206.0,39.0,110.0,180.0,9.0,13.0,20.0,NaN,NaN
kernel_anchored,99,calibration,225.0,25.0,109.0,174.0,8.0,13.0,23.0,48.40182939378209,NaN
kernel_anchored,100,reference,164.0,8.0,231.0,130.0,8.0,13.0,23.0,NaN,NaN
kernel_anchored,101,calibration,200.0,30.0,160.0,147.0,9.0,12.0,19.0,16.10223879621156,NaN
kernel_anchored,102,reference,191.0,23.0,183.0,140.0,7.0,12.0,21.0,NaN,NaN
kernel_anchored,103,calibration,213.0,13.0,160.0,148.0,9.0,11.0,23.0,17.074871365021174,NaN
kernel_anchored,104,reference,170.0,18.0,199.0,147.0,10.0,13.0,20.0,NaN,NaN
kernel_anchored,105,calibration,157.0,9.0,235.0,142.0,6.0,14.0,14.0,54.2390543394306,NaN
kernel_anchored,106,reference,194.0,45.0,102.0,185.0,11.0,13.0,27.0,NaN,NaN
kernel_anchored,107,calibration,190.0,15.0,184.0,149.0,8.0,14.0,17.0,17.38777228551327,NaN
kernel_anchored,108,reference,208.0,8.0,189.0,134.0,12.0,13.0,13.0,NaN,NaN
kernel_anchored,109,calibration,197.0,37.0,118.0,173.0,9.0,12.0,31.0,42.07610961587708,NaN
kernel_anchored,110,reference,177.0,36.0,144.0,177.0,10.0,12.0,21.0,NaN,NaN
kernel_anchored,111,calibration,174.0,7.0,230.0,128.0,9.0,14.0,15.0,44.28781250996335,NaN
kernel_anchored,112,reference,213.0,15.0,190.0,126.0,9.0,13.0,11.0,NaN,NaN
kernel_anchored,113,calibration,211.0,12.0,157.0,154.0,9.0,13.0,21.0,18.025683960900366,NaN
kernel_anchored,114,reference,197.0,26.0,169.0,147.0,9.0,13.0,16.0,NaN,NaN
kernel_anchored,115,calibration,211.0,37.0,146.0,146.0,9.0,13.0,15.0,22.162208552810654,NaN
kernel_anchored,116,reference,185.0,13.0,192.0,138.0,10.0,13.0,26.0,NaN,NaN
kernel_anchored,117,calibration,203.0,25.0,155.0,151.0,8.0,13.0,22.0,16.592432477394162,NaN
kernel_anchored,118,reference,198.0,16.0,181.0,136.0,9.0,14.0,23.0,NaN,NaN
kernel_anchored,119,calibration,186.0,11.0,180.0,157.0,7.0,13.0,23.0,20.379983094938908,NaN
kernel_anchored,120,reference,224.0,17.0,150.0,146.0,11.0,11.0,18.0,NaN,NaN
kernel_anchored,121,calibration,222.0,26.0,131.0,159.0,9.0,12.0,18.0,29.79529866746445,NaN
kernel_anchored,122,reference,197.0,28.0,165.0,147.0,9.0,14.0,17.0,NaN,NaN
kernel_anchored,123,calibration,212.0,14.0,148.0,161.0,9.0,13.0,20.0,21.63040131004591,NaN
kernel_anchored,124,reference,205.0,9.0,186.0,129.0,11.0,11.0,26.0,NaN,NaN
kernel_anchored,125,calibration,209.0,19.0,186.0,126.0,10.0,14.0,13.0,18.715343504370672,NaN
kernel_anchored,126,reference,184.0,25.0,146.0,174.0,10.0,13.0,25.0,NaN,NaN
kernel_anchored,127,calibration,204.0,13.0,206.0,111.0,10.0,12.0,21.0,30.490950654964514,NaN
kernel_anchored,128,reference,209.0,23.0,129.0,173.0,10.0,12.0,21.0,NaN,NaN
kernel_anchored,129,calibration,159.0,22.0,194.0,152.0,11.0,14.0,25.0,33.924437123665534,NaN
kernel_anchored,130,reference,219.0,9.0,173.0,136.0,9.0,9.0,22.0,NaN,NaN
kernel_anchored,131,calibration,154.0,38.0,163.0,177.0,10.0,14.0,21.0,43.99385398369677,NaN
kernel_anchored,132,reference,210.0,17.0,143.0,167.0,9.0,11.0,20.0,NaN,NaN
kernel_anchored,133,calibration,198.0,30.0,153.0,156.0,10.0,13.0,17.0,18.64616355897479,NaN
kernel_anchored,134,reference,212.0,12.0,178.0,132.0,10.0,12.0,21.0,NaN,NaN
kernel_anchored,135,calibration,191.0,18.0,215.0,112.0,10.0,13.0,18.0,34.3381008260044,NaN
kernel_anchored,136,reference,217.0,8.0,158.0,152.0,11.0,12.0,19.0,NaN,NaN
kernel_anchored,137,calibration,156.0,23.0,175.0,179.0,8.0,13.0,23.0,41.60139440354505,NaN
kernel_anchored,138,reference,234.0,29.0,162.0,116.0,8.0,12.0,16.0,NaN,NaN
kernel_anchored,139,calibration,180.0,36.0,156.0,165.0,11.0,12.0,17.0,26.330740015142744,NaN
kernel_anchored,140,reference,168.0,14.0,242.0,115.0,8.0,13.0,17.0,NaN,NaN
kernel_anchored,141,calibration,205.0,24.0,125.0,185.0,12.0,13.0,13.0,41.10237549431961,NaN
kernel_anchored,142,reference,164.0,12.0,252.0,110.0,10.0,12.0,17.0,NaN,NaN
kernel_anchored,143,calibration,165.0,32.0,181.0,152.0,9.0,12.0,26.0,29.207412532371833,NaN
kernel_anchored,144,reference,226.0,36.0,68.0,195.0,11.0,14.0,27.0,NaN,NaN
kernel_anchored,145,calibration,201.0,14.0,177.0,140.0,9.0,14.0,22.0,14.947497365444363,NaN
kernel_anchored,146,reference,222.0,36.0,125.0,149.0,10.0,12.0,23.0,NaN,NaN
kernel_anchored,147,calibration,218.0,11.0,185.0,134.0,8.0,10.0,11.0,20.181322524096764,NaN
kernel_anchored,148,reference,172.0,21.0,199.0,142.0,8.0,13.0,22.0,NaN,NaN
kernel_anchored,149,calibration,164.0,32.0,180.0,160.0,11.0,13.0,17.0,30.790897511952423,NaN
kernel_anchored,150,reference,221.0,26.0,146.0,142.0,9.0,12.0,21.0,NaN,NaN
kernel_anchored,151,calibration,165.0,17.0,233.0,124.0,10.0,13.0,15.0,49.41972516941019,NaN
kernel_anchored,152,reference,182.0,19.0,191.0,143.0,8.0,13.0,21.0,NaN,NaN
kernel_anchored,153,calibration,177.0,10.0,220.0,129.0,10.0,13.0,18.0,36.159005418797015,NaN
kernel_anchored,154,reference,223.0,14.0,175.0,122.0,10.0,12.0,21.0,NaN,NaN
kernel_anchored,155,calibration,207.0,28.0,158.0,147.0,9.0,12.0,16.0,16.184974084273662,NaN
kernel_anchored,156,reference,218.0,38.0,117.0,169.0,10.0,13.0,12.0,NaN,NaN
kernel_anchored,157,calibration,188.0,9.0,194.0,141.0,10.0,14.0,21.0,20.82863230478941,NaN
kernel_anchored,158,reference,211.0,19.0,148.0,150.0,8.0,13.0,28.0,NaN,NaN
kernel_anchored,159,calibration,167.0,16.0,220.0,132.0,10.0,14.0,18.0,39.19643654948987,NaN
kernel_anchored,160,reference,216.0,23.0,137.0,153.0,11.0,13.0,24.0,NaN,NaN
kernel_anchored,161,calibration,218.0,38.0,114.0,167.0,10.0,11.0,19.0,42.45528340586355,NaN
kernel_anchored,162,reference,202.0,37.0,118.0,175.0,10.0,13.0,22.0,NaN,NaN
kernel_anchored,163,calibration,202.0,22.0,160.0,152.0,10.0,14.0,17.0,15.517565964694398,NaN
kernel_anchored,164,reference,179.0,14.0,207.0,140.0,9.0,13.0,15.0,NaN,NaN
kernel_anchored,165,calibration,239.0,14.0,143.0,143.0,8.0,11.0,19.0,31.89605187731466,NaN
kernel_anchored,166,reference,222.0,9.0,170.0,141.0,9.0,11.0,15.0,NaN,NaN
kernel_anchored,167,calibration,199.0,12.0,166.0,168.0,6.0,12.0,14.0,21.479064583703938,NaN
kernel_anchored,168,reference,145.0,28.0,214.0,150.0,8.0,12.0,20.0,NaN,NaN
kernel_anchored,169,calibration,200.0,24.0,152.0,158.0,9.0,13.0,21.0,18.416936564333234,NaN
kernel_anchored,170,reference,208.0,12.0,199.0,118.0,7.0,13.0,20.0,NaN,NaN
kernel_anchored,171,calibration,231.0,18.0,160.0,125.0,11.0,10.0,22.0,26.27077420832024,NaN
kernel_anchored,172,reference,197.0,36.0,140.0,158.0,11.0,14.0,21.0,NaN,NaN
