bandwidth_multiplier,mixing_weight,party,mean,sd,p05,p95,width90
2.0,0.5,LR,20.75,10.281042397340832,8.0,40.0,32.0
2.0,0.5,DVD,18.03,4.860849671793253,11.950000000000001,27.0,15.049999999999999
2.0,0.5,RN+,175.01,41.543987648021904,112.0,243.05,131.05
0.25,0.75,DIV,9.373333333333333,1.3589621589238037,7.0,11.0,4.0
0.25,0.75,NFP+,198.96666666666667,20.096561767421683,167.0,231.0,64.0
0.25,0.75,DVG,12.593333333333334,1.0479900601194905,11.0,14.0,3.0
0.25,0.75,ENS+,143.78333333333333,19.81493952341543,114.0,176.05,62.05000000000001
0.25,0.75,LR,20.486666666666668,9.769063631502426,8.0,39.0,31.0
0.25,0.75,DVD,18.59,4.4378163601959395,12.0,26.05000000000001,14.050000000000011
0.25,0.75,RN+,173.20666666666668,37.47307558146252,111.9,233.10000000000002,121.20000000000002
0.5,0.75,DIV,9.34,1.3051480265615307,7.0,11.0,4.0
0.5,0.75,NFP+,198.09333333333333,21.18175736427502,157.0,231.0,74.0
0.5,0.75,DVG,12.6,0.9607689228305228,11.0,14.0,3.0
0.5,0.75,ENS+,144.65333333333334,20.29613096123349,113.0,177.05,64.05000000000001
0.5,0.75,LR,20.426666666666666,9.472965699965947,8.0,39.0,31.0
0.5,0.75,DVD,18.783333333333335,4.581815396760202,11.0,27.0,16.0
0.5,0.75,RN+,173.10333333333332,37.21688205535174,111.0,229.05,118.05000000000001
1.0,0.75,DIV,9.333333333333334,1.2757929748216348,7.0,11.0,4.0
1.0,0.75,NFP+,200.81,22.04299310779962,161.95,235.0,73.05000000000001
1.0,0.75,DVG,12.453333333333333,1.1069054556954643,10.0,14.0,4.0
1.0,0.75,ENS+,144.53,22.415708329943765,107.95,179.05,71.10000000000001
1.0,0.75,LR,21.096666666666668,10.534256376868797,8.0,40.0,32.0
1.0,0.75,DVD,18.773333333333333,4.8463297379203425,11.0,27.0,16.0
1.0,0.75,RN+,170.00333333333333,39.71162760172579,108.0,235.15000000000003,127.15000000000003
2.0,0.75,DIV,9.243333333333334,1.3577926542229346,7.0,11.0,4.0
2.0,0.75,NFP+,200.04666666666665,23.343110867494275,156.95,235.0,78.05000000000001
2.0,0.75,DVG,12.546666666666667,1.0700337047588526,11.0,14.0,3.0
2.0,0.75,ENS+,143.18333333333334,24.12085767142009,105.95,181.0,75.05
2.0,0.75,LR,20.206666666666667,10.229341146420676,7.0,40.0,33.0
2.0,0.75,DVD,18.586666666666666,4.598511707276833,11.0,26.05000000000001,15.050000000000011
2.0,0.75,RN+,173.18666666666667,40.80689276596458,104.95,236.05,131.10000000000002
0.25,1.0,DIV,9.26,1.2927893671538635,7.0,11.0,4.0
0.25,1.0,NFP+,201.23,23.68262349315199,157.85,233.0,75.15
0.25,1.0,DVG,12.54,1.095017600383894,11.0,14.0,3.0
0.25,1.0,ENS+,143.53666666666666,25.251550279682103,101.0,181.0,80.0
0.25,1.0,LR,19.893333333333334,10.033820178783158,7.0,40.0,33.0
0.25,1.0,DVD,18.32,4.823049452376255,10.0,27.0,17.0
0.25,1.0,RN+,172.22,39.455045330181655,110.95,235.10000000000002,124.15000000000002
0.5,1.0,DIV,9.26,1.2927893671538635,7.0,11.0,4.0
0.5,1.0,NFP+,201.23,23.68262349315199,157.85,233.0,75.15
0.5,1.0,DVG,12.54,1.095017600383894,11.0,14.0,3.0
0.5,1.0,ENS+,143.53666666666666,25.251550279682103,101.0,181.0,80.0
0.5,1.0,LR,19.893333333333334,10.033820178783158,7.0,40.0,33.0
0.5,1.0,DVD,18.32,4.823049452376255,10.0,27.0,17.0
0.5,1.0,RN+,172.22,39.455045330181655,110.95,235.10000000000002,124.15000000000002
1.0,1.0,DIV,9.26,1.2927893671538635,7.0,11.0,4.0
1.0,1.0,NFP+,201.23,23.68262349315199,157.85,233.0,75.15
1.0,1.0,DVG,12.54,1.095017600383894,11.0,14.0,3.0
1.0,1.0,ENS+,143.53666666666666,25.251550279682103,101.0,181.0,80.0
1.0,1.0,LR,19.893333333333334,10.033820178783158,7.0,40.0,33.0
1.0,1.0,DVD,18.32,4.823049452376255,10.0,27.0,17.0
1.0,1.0,RN+,172.22,39.455045330181655,110.95,235.10000000000002,124.15000000000002
2.0,1.0,DIV,9.26,1.2927893671538635,7.0,11.0,4.0
2.0,1.0,NFP+,201.23,23.68262349315199,157.85,233.0,75.15
2.0,1.0,DVG,12.54,1.095017600383894,11.0,14.0,3.0
2.0,1.0,ENS+,143.53666666666666,25.251550279682103,101.0,181.0,80.0
2.0,1.0,LR,19.893333333333334,10.033820178783158,7.0,40.0,33.0
2.0,1.0,DVD,18.32,4.823049452376255,10.0,27.0,17.0
2.0,1.0,RN+,172.22,39.455045330181655,110.95,235.10000000000002,124.15000000000002
