department_correlation,mixing_weight,party,mean,sd,p05,p95,width90,simulations
0.5,1.0,DVD,23.99,3.5962494398254434,18.0,29.0,11.0,300
0.5,1.0,RN+,132.15333333333334,35.75684075939219,80.0,196.0,116.0,300
0.75,1.0,DIV,9.48,1.4293624183799303,7.0,12.0,5.0,300
0.75,1.0,NFP+,203.31333333333333,23.290412188033883,158.0,235.0,77.0,300
0.75,1.0,DVG,12.516666666666667,0.9998606368887386,11.0,14.0,3.0,300
0.75,1.0,ENS+,162.09,16.563304123219524,131.0,185.0,54.0,300
0.75,1.0,LR,33.45666666666666,7.9096986878978734,20.0,44.0,24.0,300
0.75,1.0,DVD,23.99,3.5962494398254434,18.0,29.0,11.0,300
0.75,1.0,RN+,132.15333333333334,35.75684075939219,80.0,196.0,116.0,300
1.0,1.0,DIV,9.48,1.4293624183799303,7.0,12.0,5.0,300
1.0,1.0,NFP+,203.31333333333333,23.290412188033883,158.0,235.0,77.0,300
1.0,1.0,DVG,12.516666666666667,0.9998606368887386,11.0,14.0,3.0,300
1.0,1.0,ENS+,162.09,16.563304123219524,131.0,185.0,54.0,300
1.0,1.0,LR,33.45666666666666,7.9096986878978734,20.0,44.0,24.0,300
1.0,1.0,DVD,23.99,3.5962494398254434,18.0,29.0,11.0,300
1.0,1.0,RN+,132.15333333333334,35.75684075939219,80.0,196.0,116.0,300
